Date,Start Time,Player Name,Stat Type,Line Score,Odds Type,Headshot URL,Data ID,Over %,Under %,No-Vig Over %,No-Vig Under %,True Point,Average Line,Average Over %,Average Under %,Average No-Vig Over %,Average No-Vig Under %,Percent Difference,Max No-Vig %,Bet Tag,Projection,Projection vs Line,Edge %,Correlates,Team,Game Short Title,Fav,O/U,Callout Bet Tag,Position
N/A,9/20/2026,Lamar Jackson,Longest Completion,69.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,57.81,57.81,50,50,69.5,,,,,,,,,,,50,,,,,,,
N/A,9/20/2026,Mark Andrews,Receiving Yards,59.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,57.81,57.81,50,50,50.5,50.5,55.91,55.91,50,50,0,50,Over,50.5,-9,41.1,No,,,,,,
N/A,9/20/2026,Juwan Johnson,Receiving Yards,59.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/83.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/83.webp,57.81,57.81,50,50,29.5,29.5,56.72,56.72,50,50,0,50,Over,29.5,-30,22.66,No,,,,,,
N/A,9/20/2026,Chris Olave,Receiving Yards,59.5,goblin,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/12.webp,57.81,57.81,50,50,75.5,75,57.81,57.81,50,50,0,50,Over,75,15.5,65.54,Yes,,,,,,
N/A,9/20/2026,Travis Etienne Jr.,Receiving Yards,59.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/3.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/3.webp,57.81,57.81,50,50,17.5,17.5,56.72,56.72,50,50,0,50,Over,17.5,-42,14.69,No,,,,,,
N/A,9/20/2026,Devaughn Vele,Receiving Yards,59.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/14.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/14.webp,57.81,57.81,50,50,31.5,35.17,51.36,61.92,45.14,54.86,-4.86,45.14,Over,35.17,-24.33,24.2,No,,,,,,
N/A,9/20/2026,Travis Etienne Jr.,Rush Yards,50.5,standard,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/3.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/3.webp,57.81,57.81,50,50,50.5,51.5,57.81,57.81,50,50,0,50,Under,51.5,1,50,No,,,,,,
N/A,9/20/2026,Mark Andrews,Receiving Yards,50.5,standard,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/89.webp,57.81,57.81,50,50,50.5,50.5,55.91,55.91,50,50,0,50,Under,50.5,0,50,No,,,,,,
N/A,9/20/2026,Tyler Shough,Longest Completion,49.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/6.webp,57.81,57.81,50,50,49.5,,,,,,,,,,,50,,,,,,,
N/A,9/20/2026,Juwan Johnson,Receiving Yards,49.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/83.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/83.webp,57.81,57.81,50,50,29.5,29.5,56.72,56.72,50,50,0,50,Over,29.5,-20,30.85,No,,,,,,
N/A,9/20/2026,Lamar Jackson,Longest Completion,49.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_X86XqVGXMYKptjsOiJsRXw3Q/8.webp,57.81,57.81,50,50,49.5,,,,,,,,,,,50,,,,,,,
N/A,9/20/2026,Devaughn Vele,Receiving Yards,49.5,demon,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/14.webp,https://static.prizepicks.com/images/teams/nfl/NFL_team_U82F2pjFpldPbZxv226g3JKq/14.webp,57.81,57.81,50,50,31.5,35.17,51.36,61.92,45.14,54.86,-4.86,45.14,Over,35.17,-14.33,32.64,No,,,,,,
